,date,도매가격
1113,2018-06-04,16579.0
1112,2018-06-05,18525.0
1111,2018-06-07,18281.0
1110,2018-06-08,17763.0
1109,2018-06-11,13709.0
1108,2018-06-12,18299.0
1107,2018-06-13,15379.0
1106,2018-06-14,18438.0
1105,2018-06-15,18323.0
1104,2018-06-18,17954.0
1103,2018-06-19,18522.0
1102,2018-06-20,18331.0
1101,2018-06-21,18178.0
1100,2018-06-22,17996.0
1099,2018-06-25,17718.0
1098,2018-06-26,18161.0
1097,2018-06-27,17787.0
1096,2018-06-28,17613.0
1095,2018-06-29,16980.0
1094,2018-07-02,16090.0
1093,2018-07-03,17857.0
1092,2018-07-04,17713.0
1091,2018-07-05,17864.0
1090,2018-07-06,18111.0
1089,2018-07-09,16503.0
1088,2018-07-10,18001.0
1087,2018-07-11,17557.0
1086,2018-07-12,17350.0
1085,2018-07-13,17041.0
1084,2018-07-16,15791.0
1083,2018-07-17,17474.0
1082,2018-07-18,17128.0
1081,2018-07-19,17272.0
1080,2018-07-20,17044.0
1079,2018-07-23,15603.0
1078,2018-07-24,17488.0
1077,2018-07-25,17315.0
1076,2018-07-26,17542.0
1075,2018-07-27,17240.0
1074,2018-07-30,13895.0
1073,2018-07-31,17608.0
1072,2018-08-01,17908.0
1071,2018-08-02,18593.0
1070,2018-08-03,17544.0
1069,2018-08-06,17034.0
1068,2018-08-07,18388.0
1067,2018-08-08,18141.0
1066,2018-08-09,18113.0
1065,2018-08-10,18001.0
1064,2018-08-13,17309.0
1063,2018-08-14,18208.0
1062,2018-08-16,18419.0
1061,2018-08-17,17669.0
1060,2018-08-20,16581.0
1059,2018-08-21,18359.0
1058,2018-08-22,18230.0
1057,2018-08-23,17983.0
1056,2018-08-24,17510.0
1055,2018-08-27,17750.0
1054,2018-08-28,18054.0
1053,2018-08-29,18195.0
1052,2018-08-30,17891.0
1051,2018-08-31,17374.0
1050,2018-09-03,17476.0
1049,2018-09-04,18326.0
1048,2018-09-05,18428.0
1047,2018-09-06,18312.0
1046,2018-09-07,18089.0
1045,2018-09-10,17651.0
1044,2018-09-11,18825.0
1043,2018-09-12,18846.0
1042,2018-09-13,18782.0
1041,2018-09-14,18393.0
1040,2018-09-17,17990.0
1039,2018-09-18,18314.0
1038,2018-09-19,18116.0
1037,2018-09-20,17276.0
1036,2018-09-21,16567.0
1035,2018-09-28,17726.0
1034,2018-10-01,18146.0
1033,2018-10-02,18553.0
